<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19840907,000000,0.10215,0.10339,0.10092,0.10215,96351188,0
AAPL.US,D,19840910,000000,0.10215,0.10246,0.09969,0.10154,74784240,0
AAPL.US,D,19840911,000000,0.10246,0.10524,0.10246,0.10339,176345676,0
AAPL.US,D,19840912,000000,0.10339,0.104,0.1003,0.1003,154052988,0
AAPL.US,D,19840913,000000,0.10586,0.10616,0.10586,0.10586,239931832,0
AAPL.US,D,19840914,000000,0.10616,0.10986,0.10616,0.1074,285683676,0
AAPL.US,D,19840917,000000,0.11018,0.11172,0.11018,0.11018,223056708,0
AAPL.US,D,19840918,000000,0.11018,0.1111,0.10616,0.10616,112604132,0
AAPL.US,D,19840919,000000,0.10616,0.1074,0.104,0.104,122998744,0
AAPL.US,D,19840920,000000,0.10432,0.10524,0.10432,0.10432,76572896,0
AAPL.US,D,19840921,000000,0.10432,0.1074,0.10215,0.10339,115533224,0
AAPL.US,D,19840924,000000,0.10339,0.104,0.10246,0.10246,91426076,0
AAPL.US,D,19840925,000000,0.10215,0.10215,0.1003,0.1003,193013428,0
AAPL.US,D,19840926,000000,0.1003,0.10492,0.09908,0.09908,128416408,0
AAPL.US,D,19840927,000000,0.09908,0.09969,0.09908,0.09908,122583992,0
AAPL.US,D,19840928,000000,0.09908,0.09908,0.09475,0.09659,270104692,0
AAPL.US,D,19841001,000000,0.0963,0.0963,0.09444,0.09444,113148468,0
AAPL.US,D,19841002,000000,0.09505,0.09845,0.09505,0.09505,136840916,0
AAPL.US,D,19841003,000000,0.09659,0.09814,0.09659,0.09659,139355384,0
AAPL.US,D,19841004,000000,0.09782,0.09845,0.09782,0.09782,145213692,0
AAPL.US,D,19841005,000000,0.09782,0.09782,0.09505,0.09567,112915200,0
AAPL.US,D,19841008,000000,0.09567,0.0963,0.09567,0.09567,54357940,0
AAPL.US,D,19841009,000000,0.09567,0.0963,0.09475,0.09475,144954456,0
AAPL.US,D,19841010,000000,0.09475,0.09475,0.09197,0.09197,422213568,0
AAPL.US,D,19841011,000000,0.09197,0.09444,0.09136,0.09136,211495624,0
AAPL.US,D,19841012,000000,0.09136,0.09197,0.08672,0.08734,307587592,0
AAPL.US,D,19841015,000000,0.09227,0.0932,0.09227,0.09227,281510276,0
AAPL.US,D,19841016,000000,0.09227,0.09259,0.09197,0.09197,136581772,0
AAPL.US,D,19841017,000000,0.09567,0.0963,0.09567,0.09567,181270884,0
AAPL.US,D,19841018,000000,0.09845,0.09908,0.09845,0.09845,286020660,0
AAPL.US,D,19841019,000000,0.09845,0.10524,0.09814,0.09845,377394896,0
AAPL.US,D,19841022,000000,0.09845,0.09999,0.09782,0.09782,132797196,0
AAPL.US,D,19841023,000000,0.09999,0.10092,0.09999,0.09999,215746816,0
AAPL.US,D,19841024,000000,0.10092,0.10215,0.10092,0.10092,193272648,0
AAPL.US,D,19841025,000000,0.10092,0.10092,0.09721,0.09721,183033576,0
AAPL.US,D,19841026,000000,0.09721,0.09721,0.09444,0.09475,132900836,0
AAPL.US,D,19841029,000000,0.09505,0.09567,0.09505,0.09505,58609104,0
AAPL.US,D,19841030,000000,0.0963,0.09721,0.0963,0.0963,86319464,0
