<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GE.US,D,19620102,000000,0.6014,0.6093,0.594,0.594,2688661,0
GE.US,D,19620103,000000,0.594,0.594,0.5865,0.594,1842233,0
GE.US,D,19620104,000000,0.594,0.594,0.5783,0.5865,2290342,0
GE.US,D,19620105,000000,0.5865,0.5865,0.5555,0.5705,3398171,0
GE.US,D,19620108,000000,0.5705,0.5705,0.5475,0.5705,3858725,0
GE.US,D,19620109,000000,0.5705,0.5783,0.5632,0.5705,2900269,0
GE.US,D,19620110,000000,0.5705,0.5783,0.5705,0.5705,2439709,0
GE.US,D,19620111,000000,0.5705,0.5705,0.5632,0.5705,2028941,0
GE.US,D,19620112,000000,0.5705,0.5783,0.5632,0.5632,2103627,0
GE.US,D,19620115,000000,0.5705,0.5705,0.5705,0.5705,2638869,0
GE.US,D,19620116,000000,0.5705,0.5783,0.5705,0.5783,1730205,0
GE.US,D,19620117,000000,0.5783,0.5783,0.5632,0.5632,2663766,0
GE.US,D,19620118,000000,0.5632,0.5705,0.5632,0.5705,1842233,0
GE.US,D,19620119,000000,0.5705,0.5783,0.5705,0.5783,1655522,0
GE.US,D,19620122,000000,0.5783,0.5865,0.5783,0.5783,1767547,0
GE.US,D,19620123,000000,0.5783,0.5783,0.5632,0.5632,2838031,0
GE.US,D,19620124,000000,0.5632,0.5783,0.5632,0.5783,1991603,0
GE.US,D,19620125,000000,0.5783,0.5783,0.5705,0.5705,1979153,0
GE.US,D,19620126,000000,0.5705,0.5705,0.5705,0.5705,1257199,0
GE.US,D,19620129,000000,0.5705,0.5705,0.5705,0.5705,1269644,0
GE.US,D,19620130,000000,0.5783,0.5865,0.5783,0.5783,2215658,0
GE.US,D,19620131,000000,0.5783,0.6014,0.5783,0.6014,2340129,0
GE.US,D,19620201,000000,0.6014,0.6014,0.5865,0.594,3199011,0
GE.US,D,19620202,000000,0.594,0.594,0.594,0.594,1842233,0
GE.US,D,19620205,000000,0.594,0.594,0.5865,0.5865,1755097,0
GE.US,D,19620206,000000,0.5865,0.594,0.5865,0.594,1294536,0
GE.US,D,19620207,000000,0.594,0.6014,0.594,0.6014,2103627,0
GE.US,D,19620208,000000,0.6014,0.6014,0.594,0.6014,2190764,0
GE.US,D,19620209,000000,0.6014,0.6014,0.594,0.6014,1879576,0
GE.US,D,19620212,000000,0.6014,0.6014,0.594,0.6014,1020693,0
GE.US,D,19620213,000000,0.6014,0.6093,0.6014,0.6093,1506149,0
GE.US,D,19620214,000000,0.6093,0.617,0.6093,0.6093,2016497,0
GE.US,D,19620215,000000,0.6093,0.6246,0.6093,0.617,2327685,0
GE.US,D,19620216,000000,0.617,0.6246,0.6093,0.617,2912719,0
GE.US,D,19620219,000000,0.617,0.617,0.6093,0.6093,1941813,0
GE.US,D,19620220,000000,0.6093,0.6093,0.6014,0.6093,1331883,0
GE.US,D,19620221,000000,0.6093,0.617,0.6014,0.6093,1344328,0
GE.US,D,19620223,000000,0.6093,0.6093,0.6014,0.6014,2028941,0
GE.US,D,19620226,000000,0.6014,0.6014,0.5865,0.594,1568385,0
GE.US,D,19620227,000000,0.594,0.6014,0.594,0.6014,1157618,0
GE.US,D,19620228,000000,0.6014,0.6014,0.594,0.594,2066287,0
GE.US,D,19620301,000000,0.6014,0.6093,0.6014,0.6093,1132724,0
GE.US,D,19620302,000000,0.6093,0.617,0.6093,0.6093,1568385,0
GE.US,D,19620305,000000,0.6093,0.617,0.6093,0.6093,1730205,0
GE.US,D,19620306,000000,0.6093,0.6093,0.6014,0.6014,1170063,0
GE.US,D,19620307,000000,0.6014,0.6093,0.6014,0.6093,1257199,0
GE.US,D,19620308,000000,0.6093,0.617,0.6014,0.617,2203209,0
GE.US,D,19620309,000000,0.617,0.6246,0.617,0.6246,2464606,0
GE.US,D,19620312,000000,0.6246,0.6246,0.6246,0.6246,2626420,0
GE.US,D,19620313,000000,0.6246,0.6246,0.617,0.6246,1605730,0
GE.US,D,19620314,000000,0.6246,0.6246,0.617,0.617,1356781,0
GE.US,D,19620315,000000,0.617,0.6246,0.617,0.6246,2352581,0
GE.US,D,19620316,000000,0.6246,0.6246,0.6246,0.6246,1294536,0
GE.US,D,19620319,000000,0.6246,0.6246,0.617,0.617,1381672,0
GE.US,D,19620320,000000,0.617,0.617,0.617,0.617,1058037,0
GE.US,D,19620321,000000,0.617,0.617,0.617,0.617,2004049,0
GE.US,D,19620322,000000,0.617,0.617,0.617,0.617,1269644,0
GE.US,D,19620323,000000,0.617,0.6246,0.617,0.6246,1593280,0
GE.US,D,19620326,000000,0.6246,0.6246,0.6093,0.6093,1443910,0
GE.US,D,19620327,000000,0.6093,0.617,0.6093,0.617,1555942,0
GE.US,D,19620328,000000,0.617,0.6246,0.617,0.6246,1655522,0
GE.US,D,19620329,000000,0.6246,0.6246,0.617,0.617,1456356,0
GE.US,D,19620330,000000,0.617,0.6246,0.6093,0.617,1829784,0
GE.US,D,19620402,000000,0.6093,0.6093,0.6093,0.6093,1419013,0
GE.US,D,19620403,000000,0.6093,0.6093,0.6014,0.6014,2116076,0
GE.US,D,19620404,000000,0.6014,0.6093,0.6014,0.6014,1705308,0
GE.US,D,19620405,000000,0.6014,0.6093,0.6014,0.6093,2203209,0
GE.US,D,19620406,000000,0.6093,0.6093,0.6014,0.6093,1755097,0
GE.US,D,19620409,000000,0.6093,0.6093,0.6014,0.6014,1481251,0
GE.US,D,19620410,000000,0.6014,0.6014,0.594,0.594,1779992,0
GE.US,D,19620411,000000,0.594,0.6014,0.5783,0.5865,1568385,0
GE.US,D,19620412,000000,0.5865,0.5865,0.5783,0.5783,1792438,0
GE.US,D,19620413,000000,0.5865,0.6014,0.5865,0.594,2128523,0
GE.US,D,19620416,000000,0.594,0.594,0.5865,0.594,1892021,0
GE.US,D,19620417,000000,0.594,0.594,0.594,0.594,1792438,0
GE.US,D,19620418,000000,0.594,0.594,0.5865,0.594,4393968,0
GE.US,D,19620419,000000,0.594,0.594,0.5865,0.594,1269644,0
GE.US,D,19620423,000000,0.594,0.594,0.5865,0.5865,2153416,0
GE.US,D,19620424,000000,0.5865,0.5865,0.5865,0.5865,2775797,0
GE.US,D,19620425,000000,0.5865,0.5865,0.5783,0.5783,2750897,0
GE.US,D,19620426,000000,0.5783,0.5865,0.5705,0.5783,1792438,0
GE.US,D,19620427,000000,0.5783,0.5865,0.5632,0.5632,2663766,0
GE.US,D,19620430,000000,0.5632,0.5705,0.5397,0.5475,3447961,0
GE.US,D,19620501,000000,0.5475,0.5632,0.5397,0.5632,3970755,0
GE.US,D,19620502,000000,0.5632,0.5705,0.5632,0.5632,3622222,0
GE.US,D,19620503,000000,0.5705,0.5705,0.5705,0.5705,3883620,0
GE.US,D,19620504,000000,0.5705,0.5783,0.5705,0.5705,2464606,0
GE.US,D,19620507,000000,0.5705,0.5705,0.5632,0.5632,2601529,0
GE.US,D,19620508,000000,0.5632,0.5632,0.5632,0.5632,1929361,0
GE.US,D,19620509,000000,0.5632,0.5632,0.5632,0.5632,2726001,0
GE.US,D,19620510,000000,0.5632,0.5705,0.5555,0.5632,3298588,0
GE.US,D,19620511,000000,0.5632,0.5632,0.5475,0.5555,4829634,0
GE.US,D,19620514,000000,0.5555,0.5632,0.5475,0.5632,3771597,0
GE.US,D,19620515,000000,0.5632,0.5705,0.5632,0.5632,3273696,0
GE.US,D,19620516,000000,0.5632,0.5632,0.5632,0.5632,2165866,0
GE.US,D,19620517,000000,0.5632,0.5705,0.5632,0.5632,1008247,0
GE.US,D,19620518,000000,0.5705,0.5705,0.5705,0.5705,2340129,0
GE.US,D,19620521,000000,0.5705,0.5705,0.5705,0.5705,1730205,0
GE.US,D,19620522,000000,0.5705,0.5705,0.5555,0.5555,2103627,0
GE.US,D,19620523,000000,0.5475,0.5475,0.5397,0.5397,2750897,0
GE.US,D,19620524,000000,0.5397,0.5475,0.5322,0.5397,3547538,0
GE.US,D,19620525,000000,0.5397,0.5397,0.5164,0.5245,3174115,0
GE.US,D,19620528,000000,0.5245,0.5245,0.49372,0.5013,5277744,0
GE.US,D,19620529,000000,0.5013,0.5245,0.47793,0.5164,9721500,0
