<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOLD.US,D,19850204,000000,0.5129,0.5394,0.5129,0.5129,54726,0
GOLD.US,D,19850205,000000,0.5129,0.5659,0.5129,0.5129,19977,0
GOLD.US,D,19850206,000000,0.5394,0.6013,0.5394,0.5394,71226,0
GOLD.US,D,19850207,000000,0.5394,0.5659,0.5394,0.5394,43431,0
GOLD.US,D,19850208,000000,0.5394,0.5659,0.5394,0.5394,27795,0
GOLD.US,D,19850211,000000,0.5394,0.6013,0.5394,0.5394,32138,0
GOLD.US,D,19850212,000000,0.5394,0.5659,0.5394,0.5394,37352,0
GOLD.US,D,19850213,000000,0.5394,0.5659,0.5394,0.5394,21717,0
GOLD.US,D,19850214,000000,0.5659,0.6013,0.5659,0.5659,71226,0
GOLD.US,D,19850215,000000,0.5659,0.5925,0.5481,0.5481,33880,0
GOLD.US,D,19850219,000000,0.5481,0.5659,0.5481,0.5481,9556,0
GOLD.US,D,19850220,000000,0.5481,0.5481,0.5394,0.5394,43431,0
GOLD.US,D,19850221,000000,0.5394,0.5481,0.5394,0.5394,31271,0
GOLD.US,D,19850222,000000,0.5394,0.5394,0.5129,0.5129,71226,0
GOLD.US,D,19850225,000000,0.5129,0.5219,0.5129,0.5129,58195,0
GOLD.US,D,19850226,000000,0.5129,0.5394,0.5129,0.5129,31271,0
GOLD.US,D,19850227,000000,0.5129,0.5219,0.5129,0.5129,16498,0
GOLD.US,D,19850228,000000,0.5129,0.5394,0.5129,0.5129,37352,0
GOLD.US,D,19850301,000000,0.5129,0.5394,0.5129,0.5129,69488,0
GOLD.US,D,19850304,000000,0.5219,0.5394,0.5219,0.5219,8687,0
GOLD.US,D,19850305,000000,0.5219,0.5219,0.5129,0.5129,20847,0
GOLD.US,D,19850306,000000,0.5129,0.5219,0.5129,0.5129,77308,0
GOLD.US,D,19850307,000000,0.5129,0.5219,0.5129,0.5129,54726,0
GOLD.US,D,19850308,000000,0.5129,0.5129,0.45092,0.45092,273614,0
GOLD.US,D,19850311,000000,0.45092,0.5129,0.45092,0.45092,59937,0
GOLD.US,D,19850312,000000,0.4951,0.5129,0.4951,0.4951,94678,0
GOLD.US,D,19850313,000000,0.5129,0.5219,0.5129,0.5129,18238,0
GOLD.US,D,19850314,000000,0.5129,0.5394,0.5129,0.5129,8687,0
GOLD.US,D,19850315,000000,0.5129,0.5394,0.5129,0.5129,9556,0
GOLD.US,D,19850318,000000,0.5394,0.5659,0.5394,0.5394,64276,0
GOLD.US,D,19850319,000000,0.5925,0.6276,0.5925,0.5925,163301,0
GOLD.US,D,19850320,000000,0.5925,0.6013,0.5481,0.5481,64276,0
GOLD.US,D,19850321,000000,0.5659,0.6013,0.5659,0.5659,51249,0
GOLD.US,D,19850322,000000,0.5925,0.6013,0.5925,0.5925,27795,0
GOLD.US,D,19850325,000000,0.5925,0.5925,0.5481,0.5481,52117,0
GOLD.US,D,19850326,000000,0.5481,0.5925,0.5481,0.5481,27795,0
GOLD.US,D,19850327,000000,0.5481,0.5925,0.5481,0.5481,8687,0
GOLD.US,D,19850328,000000,0.5481,0.5925,0.5481,0.5481,50384,0
GOLD.US,D,19850329,000000,0.5481,0.5925,0.5481,0.5481,20847,0
GOLD.US,D,19850401,000000,0.5659,0.5925,0.5659,0.5659,59066,0
GOLD.US,D,19850402,000000,0.5659,0.5659,0.5481,0.5481,82517,0
GOLD.US,D,19850403,000000,0.5481,0.5659,0.5481,0.5481,14765,0
GOLD.US,D,19850404,000000,0.5481,0.5481,0.5394,0.5394,82517,0
GOLD.US,D,19850408,000000,0.5394,0.5481,0.5394,0.5394,20847,0
GOLD.US,D,19850409,000000,0.5394,0.5394,0.5129,0.5129,20847,0
GOLD.US,D,19850410,000000,0.5129,0.5394,0.5129,0.5129,14765,0
GOLD.US,D,19850411,000000,0.5129,0.5394,0.5129,0.5129,33880,0
GOLD.US,D,19850412,000000,0.5129,0.5219,0.5129,0.5129,30402,0
GOLD.US,D,19850415,000000,0.5129,0.5219,0.5129,0.5129,45168,0
GOLD.US,D,19850416,000000,0.5394,0.5394,0.5394,0.5394,18238,0
GOLD.US,D,19850417,000000,0.5394,0.5394,0.5394,0.5394,45168,0
GOLD.US,D,19850418,000000,0.5394,0.5394,0.5394,0.5394,3478,0
GOLD.US,D,19850419,000000,0.5394,0.6013,0.5394,0.6013,8687,0
GOLD.US,D,19850422,000000,0.5394,0.5394,0.5394,0.5394,55592,0
GOLD.US,D,19850423,000000,0.5394,0.5659,0.5394,0.5394,40824,0
GOLD.US,D,19850424,000000,0.5394,0.5394,0.5394,0.5394,26059,0
GOLD.US,D,19850425,000000,0.5394,0.5394,0.5394,0.5394,79915,0
GOLD.US,D,19850426,000000,0.5394,0.5394,0.5129,0.5129,10426,0
GOLD.US,D,19850429,000000,0.5659,0.5659,0.5659,0.5659,456027,0
GOLD.US,D,19850430,000000,0.5659,0.5659,0.5659,0.5659,30402,0
GOLD.US,D,19850501,000000,0.5394,0.5394,0.5394,0.5394,13896,0
GOLD.US,D,19850502,000000,0.5394,0.5394,0.5394,0.5394,13031,0
GOLD.US,D,19850503,000000,0.5394,0.5394,0.5394,0.5394,42559,0
GOLD.US,D,19850506,000000,0.5394,0.5394,0.5129,0.5129,85992,0
GOLD.US,D,19850507,000000,0.5394,0.5394,0.5394,0.5394,13896,0
GOLD.US,D,19850508,000000,0.5394,0.5394,0.5129,0.5129,19977,0
GOLD.US,D,19850509,000000,0.5394,0.5394,0.5394,0.5394,111182,0
GOLD.US,D,19850510,000000,0.5394,0.5394,0.5129,0.5394,75569,0
GOLD.US,D,19850513,000000,0.5394,0.5394,0.5394,0.5394,21717,0
GOLD.US,D,19850514,000000,0.5394,0.5659,0.5394,0.5394,319652,0
GOLD.US,D,19850515,000000,0.5394,0.5659,0.5394,0.5394,24323,0
GOLD.US,D,19850516,000000,0.5659,0.5659,0.5659,0.5659,39957,0
GOLD.US,D,19850517,000000,0.5659,0.5659,0.5659,0.5659,56461,0
GOLD.US,D,19850520,000000,0.5659,0.6013,0.5659,0.5659,63408,0
GOLD.US,D,19850521,000000,0.5659,0.6013,0.5659,0.5659,147668,0
GOLD.US,D,19850522,000000,0.5659,0.6013,0.5659,0.5659,21717,0
GOLD.US,D,19850523,000000,0.5659,0.5659,0.5394,0.5394,22584,0
GOLD.US,D,19850524,000000,0.5659,0.5659,0.5659,0.5659,88596,0
GOLD.US,D,19850528,000000,0.5659,0.5659,0.5394,0.5394,18238,0
GOLD.US,D,19850529,000000,0.5659,0.5659,0.5659,0.5659,6081,0
GOLD.US,D,19850530,000000,0.5394,0.5394,0.5394,0.5394,2608,0
GOLD.US,D,19850531,000000,0.5394,0.5659,0.5394,0.5394,209340,0
GOLD.US,D,19850603,000000,0.5394,0.5659,0.5394,0.5394,37352,0
GOLD.US,D,19850604,000000,0.5394,0.5659,0.5394,0.5394,59066,0
GOLD.US,D,19850605,000000,0.5394,0.5394,0.5394,0.5394,12162,0
GOLD.US,D,19850606,000000,0.5394,0.5659,0.5394,0.5394,18238,0
GOLD.US,D,19850607,000000,0.5659,0.5659,0.5659,0.5659,48640,0
GOLD.US,D,19850610,000000,0.5659,0.5659,0.5659,0.5659,36482,0
GOLD.US,D,19850611,000000,0.5659,0.5659,0.5394,0.5394,148536,0
GOLD.US,D,19850612,000000,0.5394,0.5394,0.5394,0.5394,79915,0
GOLD.US,D,19850613,000000,0.5394,0.5394,0.5394,0.5394,49508,0
GOLD.US,D,19850614,000000,0.5394,0.5394,0.5394,0.5394,72096,0
GOLD.US,D,19850617,000000,0.5659,0.5659,0.5659,0.5659,103366,0
GOLD.US,D,19850618,000000,0.5659,0.6013,0.5659,0.5659,42559,0
GOLD.US,D,19850619,000000,0.5659,0.5659,0.5394,0.5394,33008,0
GOLD.US,D,19850620,000000,0.5394,0.5394,0.5394,0.5394,54726,0
GOLD.US,D,19850621,000000,0.5394,0.5394,0.5129,0.5129,57329,0
GOLD.US,D,19850624,000000,0.5129,0.5394,0.5129,0.5129,10426,0
GOLD.US,D,19850625,000000,0.5129,0.5394,0.5129,0.5129,6081,0
GOLD.US,D,19850626,000000,0.5394,0.5394,0.5394,0.5394,19977,0
GOLD.US,D,19850627,000000,0.5394,0.5394,0.5394,0.5394,39957,0
GOLD.US,D,19850628,000000,0.5394,0.5394,0.5394,0.5394,82517,0
GOLD.US,D,19850701,000000,0.5394,0.5394,0.5129,0.5129,26059,0
GOLD.US,D,19850702,000000,0.5394,0.5394,0.5394,0.5394,20847,0
GOLD.US,D,19850703,000000,0.5394,0.5394,0.5394,0.5394,22584,0
GOLD.US,D,19850705,000000,0.5394,0.5394,0.5394,0.5394,12162,0
GOLD.US,D,19850708,000000,0.5394,0.5394,0.5394,0.5394,23453,0
GOLD.US,D,19850709,000000,0.5659,0.5659,0.5659,0.5659,94678,0
GOLD.US,D,19850710,000000,0.6013,0.6013,0.6013,0.6013,45168,0
GOLD.US,D,19850711,000000,0.6013,0.6013,0.5659,0.5659,88596,0
GOLD.US,D,19850712,000000,0.6013,0.6456,0.6013,0.6013,42559,0
GOLD.US,D,19850715,000000,0.6013,0.6456,0.6013,0.6013,72096,0
GOLD.US,D,19850716,000000,0.6456,0.6456,0.6456,0.6456,55592,0
GOLD.US,D,19850717,000000,0.6456,0.6717,0.6456,0.6456,221496,0
GOLD.US,D,19850718,000000,0.6456,0.6717,0.6013,0.6013,35617,0
GOLD.US,D,19850719,000000,0.6717,0.6717,0.6717,0.6717,85992,0
GOLD.US,D,19850722,000000,0.6717,0.6717,0.6717,0.6717,68622,0
GOLD.US,D,19850723,000000,0.6717,0.6717,0.6456,0.6456,37352,0
GOLD.US,D,19850724,000000,0.6456,0.6717,0.6456,0.6456,13031,0
GOLD.US,D,19850725,000000,0.6456,0.6456,0.6456,0.6456,27795,0
GOLD.US,D,19850726,000000,0.6456,0.6456,0.6456,0.6456,39957,0
GOLD.US,D,19850729,000000,0.6456,0.6456,0.6456,0.6456,75569,0
GOLD.US,D,19850730,000000,0.6456,0.6456,0.6456,0.6456,33880,0
GOLD.US,D,19850731,000000,0.6717,0.6717,0.6717,0.6717,35617,0
GOLD.US,D,19850801,000000,0.7339,0.7339,0.7339,0.7339,298806,0
GOLD.US,D,19850802,000000,0.7072,0.7072,0.7072,0.7072,83390,0
GOLD.US,D,19850805,000000,0.7072,0.7072,0.7072,0.7072,32138,0
GOLD.US,D,19850806,000000,0.7072,0.7072,0.6717,0.6717,53857,0
GOLD.US,D,19850807,000000,0.6717,0.7072,0.6717,0.6717,138976,0
GOLD.US,D,19850808,000000,0.6717,0.6717,0.6717,0.6717,47774,0
GOLD.US,D,19850809,000000,0.6717,0.6717,0.6717,0.6717,23453,0
GOLD.US,D,19850812,000000,0.7072,0.7072,0.7072,0.7072,108576,0
GOLD.US,D,19850813,000000,0.7072,0.7072,0.7072,0.7072,40824,0
GOLD.US,D,19850814,000000,0.7072,0.7072,0.7072,0.7072,33008,0
GOLD.US,D,19850815,000000,0.7604,0.7604,0.7604,0.7604,396090,0
GOLD.US,D,19850816,000000,0.8047,0.8577,0.8047,0.8047,389141,0
GOLD.US,D,19850819,000000,0.8047,0.8399,0.8047,0.8047,294462,0
GOLD.US,D,19850820,000000,0.8047,0.8047,0.7604,0.7604,260586,0
GOLD.US,D,19850821,000000,0.7604,0.7604,0.7604,0.7604,135507,0
GOLD.US,D,19850822,000000,0.7604,0.7604,0.7604,0.7604,99021,0
GOLD.US,D,19850823,000000,0.7604,0.7604,0.7604,0.7604,37352,0
GOLD.US,D,19850826,000000,0.7604,0.7604,0.7339,0.7339,35617,0
GOLD.US,D,19850827,000000,0.7604,0.7604,0.7604,0.7604,76440,0
GOLD.US,D,19850828,000000,0.7604,0.8047,0.7604,0.7604,46036,0
GOLD.US,D,19850829,000000,0.7604,0.7604,0.7604,0.7604,310098,0
GOLD.US,D,19850830,000000,0.7604,0.7604,0.7604,0.7604,88596,0
GOLD.US,D,19850903,000000,0.7604,0.7604,0.7339,0.7339,84256,0
GOLD.US,D,19850904,000000,0.7339,0.7339,0.7339,0.7339,2608,0
GOLD.US,D,19850905,000000,0.7339,0.7339,0.7072,0.7072,34746,0
GOLD.US,D,19850906,000000,0.7072,0.7072,0.7072,0.7072,165040,0
GOLD.US,D,19850909,000000,0.7072,0.7072,0.7072,0.7072,25192,0
GOLD.US,D,19850910,000000,0.7072,0.7604,0.7072,0.7072,147668,0
GOLD.US,D,19850911,000000,0.7072,0.7339,0.7072,0.7072,59066,0
GOLD.US,D,19850912,000000,0.7072,0.7339,0.7072,0.7072,88596,0
GOLD.US,D,19850913,000000,0.7072,0.7072,0.7072,0.7072,304013,0
GOLD.US,D,19850916,000000,0.7072,0.7339,0.7072,0.7072,160692,0
GOLD.US,D,19850917,000000,0.7072,0.7339,0.7072,0.7072,218025,0
GOLD.US,D,19850918,000000,0.7072,0.7072,0.7072,0.7072,395220,0
GOLD.US,D,19850919,000000,0.7072,0.7339,0.7072,0.7072,135507,0
GOLD.US,D,19850920,000000,0.7339,0.7604,0.7339,0.7339,72967,0
GOLD.US,D,19850923,000000,0.7604,0.8047,0.7604,0.7604,193698,0
GOLD.US,D,19850924,000000,0.7604,0.8047,0.7339,0.7339,161562,0
GOLD.US,D,19850925,000000,0.7604,0.8047,0.7604,0.7604,191959,0
GOLD.US,D,19850926,000000,0.8047,0.8047,0.8047,0.8047,566340,0
GOLD.US,D,19850927,000000,0.7604,0.7604,0.7604,0.7604,117263,0
GOLD.US,D,19850930,000000,0.8047,0.8047,0.8047,0.8047,982409,0
GOLD.US,D,19851001,000000,0.8047,0.8047,0.8047,0.8047,256241,0
GOLD.US,D,19851002,000000,0.8047,0.8047,0.7604,0.7604,93813,0
GOLD.US,D,19851003,000000,0.8047,0.8047,0.8047,0.8047,338760,0
GOLD.US,D,19851004,000000,0.8047,0.8047,0.8047,0.8047,53857,0
GOLD.US,D,19851007,000000,0.8047,0.8047,0.8047,0.8047,947660,0
GOLD.US,D,19851008,000000,0.8047,0.8047,0.8047,0.8047,173724,0
GOLD.US,D,19851009,000000,0.8047,0.8047,0.7604,0.7604,90334,0
GOLD.US,D,19851010,000000,0.7604,0.7604,0.7604,0.7604,140713,0
GOLD.US,D,19851011,000000,0.7604,0.7604,0.7604,0.7604,66016,0
GOLD.US,D,19851014,000000,0.7604,0.7604,0.7604,0.7604,19111,0
GOLD.US,D,19851015,000000,0.7604,0.8047,0.7604,0.7604,102495,0
GOLD.US,D,19851016,000000,0.7604,0.7604,0.7604,0.7604,264057,0
GOLD.US,D,19851017,000000,0.7604,0.8047,0.7604,0.7604,208469,0
GOLD.US,D,19851018,000000,0.7604,0.7604,0.7604,0.7604,394355,0
GOLD.US,D,19851021,000000,0.7604,0.7604,0.7604,0.7604,90334,0
GOLD.US,D,19851022,000000,0.7339,0.7339,0.7339,0.7339,139844,0
GOLD.US,D,19851023,000000,0.7604,0.7604,0.7604,0.7604,219761,0
GOLD.US,D,19851024,000000,0.7339,0.7339,0.7072,0.7072,234524,0
GOLD.US,D,19851025,000000,0.7072,0.7072,0.7072,0.7072,167643,0
GOLD.US,D,19851028,000000,0.7072,0.7072,0.7072,0.7072,101628,0
GOLD.US,D,19851029,000000,0.7072,0.7072,0.7072,0.7072,276221,0
GOLD.US,D,19851030,000000,0.7072,0.7072,0.7072,0.7072,80781,0
GOLD.US,D,19851031,000000,0.7072,0.7072,0.6717,0.6717,170250,0
GOLD.US,D,19851101,000000,0.6717,0.7072,0.6717,0.6717,70359,0
GOLD.US,D,19851104,000000,0.7072,0.7339,0.7072,0.7072,145060,0
GOLD.US,D,19851105,000000,0.7339,0.7339,0.7339,0.7339,95550,0
GOLD.US,D,19851106,000000,0.7339,0.7339,0.7339,0.7339,87732,0
GOLD.US,D,19851107,000000,0.7339,0.7339,0.7339,0.7339,28662,0
GOLD.US,D,19851108,000000,0.7072,0.7072,0.7072,0.7072,284906,0
GOLD.US,D,19851111,000000,0.7339,0.7339,0.7339,0.7339,350052,0
GOLD.US,D,19851112,000000,0.7339,0.7339,0.7072,0.7072,719219,0
GOLD.US,D,19851113,000000,0.7072,0.7339,0.7072,0.7072,343104,0
GOLD.US,D,19851114,000000,0.7072,0.7339,0.7072,0.7072,52117,0
GOLD.US,D,19851115,000000,0.7072,0.7072,0.7072,0.7072,69488,0
GOLD.US,D,19851118,000000,0.7072,0.7072,0.7072,0.7072,101628,0
GOLD.US,D,19851119,000000,0.7072,0.7072,0.7072,0.7072,132032,0
GOLD.US,D,19851120,000000,0.6717,0.6717,0.6717,0.6717,74703,0
GOLD.US,D,19851121,000000,0.6717,0.7072,0.6717,0.6717,35617,0
GOLD.US,D,19851122,000000,0.6717,0.7072,0.6717,0.7072,112053,0
GOLD.US,D,19851125,000000,0.7072,0.7072,0.6717,0.7072,233656,0
GOLD.US,D,19851126,000000,0.7072,0.7072,0.6717,0.6717,130292,0
GOLD.US,D,19851127,000000,0.6717,0.7072,0.6717,0.6717,61674,0
GOLD.US,D,19851129,000000,0.6717,0.6717,0.6717,0.6717,54726,0
GOLD.US,D,19851202,000000,0.6717,0.6717,0.6717,0.6717,27795,0
GOLD.US,D,19851203,000000,0.6717,0.6717,0.6456,0.6717,152875,0
