<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNJ.US,D,19700102,000000,0.5632,0.5632,0.5481,0.5481,1591773,0
JNJ.US,D,19700105,000000,0.5481,0.5481,0.5329,0.5329,1284920,0
JNJ.US,D,19700106,000000,0.5329,0.541,0.5329,0.541,1380811,0
JNJ.US,D,19700107,000000,0.541,0.5481,0.541,0.541,441092,0
JNJ.US,D,19700108,000000,0.541,0.5481,0.541,0.5481,613692,0
JNJ.US,D,19700109,000000,0.5481,0.5559,0.5481,0.5481,997254,0
JNJ.US,D,19700112,000000,0.5481,0.5481,0.541,0.541,1150679,0
JNJ.US,D,19700113,000000,0.541,0.5481,0.541,0.541,1131503,0
JNJ.US,D,19700114,000000,0.541,0.5559,0.541,0.5481,824652,0
JNJ.US,D,19700115,000000,0.5481,0.5559,0.5481,0.5559,1610946,0
JNJ.US,D,19700116,000000,0.5559,0.5559,0.5481,0.5481,978079,0
JNJ.US,D,19700119,000000,0.5481,0.5481,0.541,0.5481,1572594,0
JNJ.US,D,19700120,000000,0.5481,0.5481,0.5329,0.5481,1016431,0
JNJ.US,D,19700121,000000,0.5481,0.5481,0.541,0.5481,1169855,0
JNJ.US,D,19700122,000000,0.5481,0.5481,0.541,0.5481,479453,0
JNJ.US,D,19700123,000000,0.5481,0.5481,0.5481,0.5481,1304103,0
JNJ.US,D,19700126,000000,0.5481,0.5481,0.541,0.5481,1304103,0
JNJ.US,D,19700127,000000,0.541,0.541,0.541,0.541,709585,0
JNJ.US,D,19700128,000000,0.5329,0.5329,0.5105,0.5105,1994510,0
JNJ.US,D,19700129,000000,0.5105,0.5105,0.48054,0.49564,4775313,0
JNJ.US,D,19700130,000000,0.49564,0.49564,0.48054,0.49564,3739704,0
JNJ.US,D,19700202,000000,0.49564,0.5181,0.49564,0.5181,2147932,0
JNJ.US,D,19700203,000000,0.5181,0.541,0.5105,0.5105,3586274,0
JNJ.US,D,19700204,000000,0.5105,0.5105,0.48833,0.48833,3720527,0
JNJ.US,D,19700205,000000,0.48833,0.5105,0.48833,0.5105,2512312,0
JNJ.US,D,19700206,000000,0.5105,0.5105,0.5032,0.5105,939718,0
JNJ.US,D,19700209,000000,0.5181,0.5329,0.5181,0.5329,2243821,0
JNJ.US,D,19700210,000000,0.541,0.5481,0.541,0.541,3336968,0
JNJ.US,D,19700211,000000,0.541,0.541,0.5329,0.5329,2972585,0
JNJ.US,D,19700212,000000,0.5329,0.5329,0.5105,0.5181,4487640,0
JNJ.US,D,19700213,000000,0.5181,0.5181,0.49564,0.5032,2052043,0
JNJ.US,D,19700216,000000,0.5032,0.5105,0.5032,0.5032,1093143,0
JNJ.US,D,19700217,000000,0.5032,0.5032,0.48833,0.49564,2550667,0
JNJ.US,D,19700218,000000,0.49564,0.5032,0.49564,0.49564,1169855,0
JNJ.US,D,19700219,000000,0.49564,0.49564,0.49564,0.49564,767122,0
JNJ.US,D,19700220,000000,0.49564,0.49564,0.48054,0.48833,1860262,0
JNJ.US,D,19700224,000000,0.48833,0.48833,0.4732,0.4732,4986270,0
JNJ.US,D,19700225,000000,0.4732,0.49564,0.4732,0.49564,3758880,0
JNJ.US,D,19700226,000000,0.48833,0.48833,0.48054,0.48054,1802726,0
JNJ.US,D,19700227,000000,0.48833,0.49564,0.48833,0.49564,2167108,0
JNJ.US,D,19700302,000000,0.49564,0.5032,0.49564,0.49564,1399988,0
JNJ.US,D,19700303,000000,0.49564,0.49564,0.48833,0.49564,1956150,0
JNJ.US,D,19700304,000000,0.49564,0.5032,0.49564,0.49564,978079,0
JNJ.US,D,19700305,000000,0.49564,0.5032,0.49564,0.49564,1189034,0
JNJ.US,D,19700306,000000,0.49564,0.49564,0.48833,0.48833,1208211,0
JNJ.US,D,19700309,000000,0.48833,0.48833,0.48833,0.48833,364381,0
JNJ.US,D,19700310,000000,0.48833,0.48833,0.48054,0.48054,1802726,0
JNJ.US,D,19700311,000000,0.48054,0.48833,0.48054,0.48833,575339,0
JNJ.US,D,19700312,000000,0.48833,0.48833,0.48833,0.48833,517803,0
JNJ.US,D,19700313,000000,0.48833,0.48833,0.48054,0.48054,1783549,0
JNJ.US,D,19700316,000000,0.48054,0.48054,0.4732,0.4732,1073964,0
JNJ.US,D,19700317,000000,0.4732,0.48054,0.4732,0.4732,1687661,0
JNJ.US,D,19700318,000000,0.4732,0.48054,0.4732,0.48054,997254,0
JNJ.US,D,19700319,000000,0.48054,0.48054,0.48054,0.48054,1495879,0
JNJ.US,D,19700320,000000,0.48054,0.48054,0.4732,0.48054,690410,0
