<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPM.US,D,19700102,000000,2.8592,2.8592,2.8285,2.8592,32191,0
JPM.US,D,19700105,000000,2.8592,2.8667,2.8363,2.8592,42026,0
JPM.US,D,19700106,000000,2.8592,2.8895,2.8438,2.8895,36666,0
JPM.US,D,19700107,000000,2.8972,2.9733,2.8972,2.9581,96579,0
JPM.US,D,19700108,000000,2.9505,2.9505,2.9126,2.9505,28615,0
JPM.US,D,19700109,000000,2.9275,2.9275,2.882,2.882,20566,0
JPM.US,D,19700112,000000,2.8895,2.9349,2.8895,2.9349,48292,0
JPM.US,D,19700113,000000,2.9349,2.9812,2.9275,2.9275,36666,0
JPM.US,D,19700114,000000,2.9275,2.9505,2.9126,2.9505,35769,0
JPM.US,D,19700115,000000,2.9505,2.9581,2.9505,2.9505,18777,0
JPM.US,D,19700116,000000,2.9505,2.9661,2.8895,2.8895,23254,0
JPM.US,D,19700119,000000,2.8895,2.8972,2.8515,2.8972,122513,0
JPM.US,D,19700120,000000,2.8972,2.9126,2.8667,2.9126,45608,0
JPM.US,D,19700121,000000,2.9045,2.9045,2.8667,2.8742,63494,0
JPM.US,D,19700122,000000,2.8742,2.8895,2.8742,2.8742,30403,0
JPM.US,D,19700123,000000,2.8972,2.9432,2.8972,2.8972,52764,0
JPM.US,D,19700126,000000,2.8895,2.8895,2.8592,2.8592,83173,0
JPM.US,D,19700127,000000,2.8592,2.8592,2.8285,2.8438,45608,0
JPM.US,D,19700128,000000,2.8438,2.8667,2.8058,2.8058,34872,0
JPM.US,D,19700129,000000,2.7825,2.7825,2.6838,2.6838,91218,0
JPM.US,D,19700130,000000,2.6838,2.7296,2.6838,2.7296,38453,0
JPM.US,D,19700202,000000,2.7065,2.7065,2.7065,2.7065,8945,0
JPM.US,D,19700203,000000,2.7065,2.7675,2.6991,2.7602,29509,0
JPM.US,D,19700204,000000,2.7602,2.8285,2.7602,2.7602,54553,0
JPM.US,D,19700205,000000,2.7602,2.7825,2.7296,2.7675,34872,0
JPM.US,D,19700206,000000,2.7675,2.7675,2.7524,2.7675,22354,0
JPM.US,D,19700209,000000,2.7754,2.8667,2.7754,2.8438,100158,0
JPM.US,D,19700210,000000,2.8438,2.8667,2.8058,2.8285,30403,0
JPM.US,D,19700211,000000,2.8363,2.9126,2.8363,2.9126,39350,0
JPM.US,D,19700212,000000,2.9126,2.9275,2.8972,2.8972,10731,0
JPM.US,D,19700213,000000,2.8972,2.9581,2.8972,2.9505,76905,0
JPM.US,D,19700216,000000,2.9505,2.9733,2.9275,2.9733,30403,0
JPM.US,D,19700217,000000,2.9733,3.0117,2.9733,3.0039,56342,0
JPM.US,D,19700218,000000,3.0117,3.0423,3.0117,3.0423,29509,0
JPM.US,D,19700219,000000,3.0423,3.0802,3.0423,3.0647,67963,0
JPM.US,D,19700220,000000,3.0802,3.1185,3.0802,3.0954,162757,0
JPM.US,D,19700224,000000,3.0954,3.1032,3.0647,3.0802,45608,0
JPM.US,D,19700225,000000,3.0802,3.1259,3.0802,3.1259,72435,0
JPM.US,D,19700226,000000,3.1185,3.1185,3.0954,3.0954,118941,0
JPM.US,D,19700227,000000,3.0954,3.1413,3.0954,3.1334,50077,0
JPM.US,D,19700302,000000,3.1334,3.1488,3.1259,3.1413,148449,0
JPM.US,D,19700303,000000,3.1488,3.1792,3.1488,3.1792,59024,0
JPM.US,D,19700304,000000,3.1792,3.195,3.1792,3.195,74227,0
JPM.US,D,19700305,000000,3.21,3.2328,3.21,3.2328,47395,0
JPM.US,D,19700306,000000,3.2328,3.2328,3.2019,3.21,33981,0
JPM.US,D,19700309,000000,3.1792,3.1792,3.1259,3.1259,33981,0
JPM.US,D,19700310,000000,3.1259,3.1488,3.1185,3.1185,39350,0
JPM.US,D,19700311,000000,3.1185,3.1334,3.0954,3.1259,50971,0
JPM.US,D,19700312,000000,3.1259,3.1259,3.1185,3.1259,35769,0
JPM.US,D,19700313,000000,3.1259,3.1259,3.1105,3.1185,29509,0
JPM.US,D,19700316,000000,3.1185,3.1185,3.0954,3.0954,76014,0
JPM.US,D,19700317,000000,3.0647,3.0647,3.0423,3.0423,47395,0
JPM.US,D,19700318,000000,3.0423,3.0802,3.0423,3.0647,76905,0
JPM.US,D,19700319,000000,3.0647,3.1032,3.0573,3.0573,140400,0
JPM.US,D,19700320,000000,3.0573,3.0647,3.0117,3.0117,33088,0
JPM.US,D,19700323,000000,3.0117,3.0189,3.0117,3.0117,50971,0
JPM.US,D,19700324,000000,3.0189,3.0878,3.0189,3.0647,53655,0
JPM.US,D,19700325,000000,3.0802,3.1185,3.0802,3.0954,76905,0
JPM.US,D,19700326,000000,3.0954,3.1413,3.0726,3.1185,109103,0
JPM.US,D,19700330,000000,3.1185,3.1185,3.0726,3.0726,51864,0
JPM.US,D,19700331,000000,3.0802,3.1185,3.0802,3.0954,38453,0
JPM.US,D,19700401,000000,3.0954,3.1105,3.0802,3.0954,65278,0
JPM.US,D,19700402,000000,3.0954,3.1185,3.0954,3.1185,20566,0
JPM.US,D,19700403,000000,3.1185,3.1639,3.0954,3.1259,174385,0
JPM.US,D,19700406,000000,3.1259,3.1259,3.0954,3.1259,54553,0
JPM.US,D,19700407,000000,3.1185,3.1185,3.0954,3.0954,18777,0
JPM.US,D,19700408,000000,3.0954,3.1185,3.0802,3.0954,22354,0
JPM.US,D,19700409,000000,3.0954,3.1105,3.0954,3.0954,44716,0
JPM.US,D,19700410,000000,3.0878,3.0878,3.0345,3.0423,42922,0
JPM.US,D,19700413,000000,3.0423,3.0647,3.0117,3.0117,66180,0
JPM.US,D,19700414,000000,3.0117,3.0189,3.0117,3.0117,19675,0
JPM.US,D,19700415,000000,3.0117,3.0189,2.9964,3.0189,17879,0
JPM.US,D,19700416,000000,3.0189,3.0423,3.0117,3.0117,40241,0
JPM.US,D,19700417,000000,2.9964,2.9964,2.9964,2.9964,22354,0
JPM.US,D,19700420,000000,2.9812,2.9812,2.9581,2.9661,115364,0
JPM.US,D,19700421,000000,2.9661,2.9887,2.9581,2.9733,301369,0
JPM.US,D,19700422,000000,2.9733,3.0117,2.9733,2.9733,47395,0
JPM.US,D,19700423,000000,2.9661,2.9661,2.9275,2.9275,162757,0
JPM.US,D,19700424,000000,2.9126,2.9126,2.8667,2.8667,14307,0
JPM.US,D,19700427,000000,2.8438,2.8438,2.8058,2.8058,49180,0
JPM.US,D,19700428,000000,2.8058,2.8133,2.7296,2.7296,82273,0
JPM.US,D,19700429,000000,2.7296,2.7754,2.7065,2.7754,55445,0
JPM.US,D,19700430,000000,2.7754,2.7825,2.7446,2.7446,18777,0
JPM.US,D,19700501,000000,2.7446,2.7446,2.7217,2.7446,33981,0
JPM.US,D,19700504,000000,2.7446,2.7446,2.7217,2.7296,22354,0
JPM.US,D,19700505,000000,2.7296,2.7446,2.7065,2.7296,17879,0
JPM.US,D,19700506,000000,2.7296,2.7446,2.7296,2.7296,34872,0
JPM.US,D,19700507,000000,2.7296,2.7602,2.7217,2.7602,53655,0
JPM.US,D,19700508,000000,2.7446,2.7446,2.7144,2.7144,20566,0
JPM.US,D,19700511,000000,2.7144,2.7296,2.6991,2.6991,28615,0
JPM.US,D,19700512,000000,2.6838,2.6838,2.6456,2.6838,33981,0
JPM.US,D,19700513,000000,2.6761,2.6761,2.6001,2.6151,78697,0
JPM.US,D,19700514,000000,2.6001,2.6001,2.5615,2.5615,59918,0
JPM.US,D,19700515,000000,2.5615,2.5615,2.4932,2.5082,122513,0
JPM.US,D,19700518,000000,2.5082,2.5466,2.4932,2.4932,31300,0
JPM.US,D,19700519,000000,2.4932,2.5082,2.4549,2.4549,24145,0
JPM.US,D,19700520,000000,2.4549,2.4626,2.4247,2.4247,31300,0
JPM.US,D,19700521,000000,2.3939,2.3939,2.3407,2.3407,38453,0
JPM.US,D,19700522,000000,2.3407,2.3484,2.2873,2.2873,138613,0
JPM.US,D,19700525,000000,2.2646,2.2646,2.2033,2.2033,52764,0
JPM.US,D,19700526,000000,2.2033,2.2569,2.1805,2.2184,46502,0
JPM.US,D,19700527,000000,2.2184,2.3253,2.1805,2.3099,112678,0
JPM.US,D,19700528,000000,2.3099,2.4247,2.3099,2.4247,54553,0
JPM.US,D,19700529,000000,2.4247,2.5161,2.4018,2.5161,20566,0
JPM.US,D,19700601,000000,2.5921,2.6761,2.5921,2.6761,93003,0
JPM.US,D,19700602,000000,2.6761,2.6761,2.6383,2.6383,42922,0
JPM.US,D,19700603,000000,2.6383,2.6532,2.6383,2.6532,5365,0
JPM.US,D,19700604,000000,2.6532,2.6608,2.6151,2.6151,18777,0
JPM.US,D,19700605,000000,2.5769,2.5769,2.4932,2.5388,57236,0
JPM.US,D,19700608,000000,2.5388,2.5615,2.5161,2.5615,25934,0
JPM.US,D,19700609,000000,2.5388,2.5388,2.5161,2.5312,42026,0
JPM.US,D,19700610,000000,2.5235,2.5235,2.5235,2.5235,9835,0
JPM.US,D,19700611,000000,2.5235,2.5388,2.5161,2.5161,21461,0
JPM.US,D,19700612,000000,2.5161,2.5312,2.4932,2.5312,16990,0
JPM.US,D,19700615,000000,2.5541,2.5848,2.5541,2.5615,29509,0
JPM.US,D,19700616,000000,2.5615,2.5848,2.5615,2.5848,13411,0
JPM.US,D,19700617,000000,2.5848,2.6151,2.5769,2.6076,10731,0
JPM.US,D,19700618,000000,2.6076,2.6761,2.6001,2.6761,27724,0
JPM.US,D,19700619,000000,2.6761,2.7296,2.6682,2.7065,24145,0
JPM.US,D,19700622,000000,2.6838,2.6838,2.6001,2.6383,25934,0
JPM.US,D,19700623,000000,2.6151,2.6151,2.5312,2.5312,28615,0
JPM.US,D,19700624,000000,2.5312,2.6151,2.5082,2.5769,42026,0
JPM.US,D,19700625,000000,2.5769,2.6227,2.5769,2.6151,16990,0
JPM.US,D,19700626,000000,2.6383,2.6761,2.6383,2.6608,15203,0
JPM.US,D,19700629,000000,2.6761,2.6838,2.6761,2.6838,16990,0
JPM.US,D,19700630,000000,2.6838,2.6915,2.6682,2.6915,17879,0
JPM.US,D,19700701,000000,2.6915,2.6991,2.6608,2.6761,34872,0
JPM.US,D,19700702,000000,2.6761,2.6761,2.6227,2.6456,172601,0
JPM.US,D,19700706,000000,2.6456,2.6456,2.5921,2.5921,194949,0
JPM.US,D,19700707,000000,2.5921,2.6076,2.5694,2.5694,20566,0
JPM.US,D,19700708,000000,2.5694,2.6227,2.5694,2.6001,80486,0
JPM.US,D,19700709,000000,2.6001,2.6456,2.6001,2.6301,30403,0
JPM.US,D,19700710,000000,2.6301,2.6383,2.6151,2.6383,70651,0
JPM.US,D,19700713,000000,2.6301,2.6301,2.6151,2.6151,202106,0
JPM.US,D,19700714,000000,2.6001,2.6001,2.5921,2.5921,23254,0
JPM.US,D,19700715,000000,2.5921,2.6151,2.5921,2.6076,19675,0
JPM.US,D,19700716,000000,2.6076,2.6301,2.6076,2.6151,507056,0
JPM.US,D,19700717,000000,2.6227,2.6991,2.6227,2.6991,255766,0
JPM.US,D,19700720,000000,2.6991,2.7065,2.6991,2.6991,48292,0
JPM.US,D,19700721,000000,2.6991,2.7372,2.6991,2.7217,31300,0
JPM.US,D,19700722,000000,2.7217,2.7296,2.7065,2.7296,58128,0
JPM.US,D,19700723,000000,2.7296,2.7906,2.7217,2.7906,27724,0
JPM.US,D,19700724,000000,2.7982,2.8667,2.7982,2.8667,62601,0
JPM.US,D,19700727,000000,2.8667,2.8742,2.8515,2.8742,68861,0
JPM.US,D,19700728,000000,2.8742,2.8742,2.8515,2.8742,11625,0
JPM.US,D,19700729,000000,2.8742,2.8972,2.8667,2.8972,90320,0
JPM.US,D,19700730,000000,2.8972,2.9126,2.8742,2.8972,59024,0
JPM.US,D,19700731,000000,2.8742,2.8742,2.8438,2.8515,197640,0
JPM.US,D,19700803,000000,2.8438,2.8438,2.8133,2.8438,24145,0
JPM.US,D,19700804,000000,2.8133,2.8133,2.7675,2.7906,126091,0
JPM.US,D,19700805,000000,2.7906,2.8285,2.7602,2.7825,67069,0
JPM.US,D,19700806,000000,2.7825,2.8133,2.7754,2.8133,15203,0
JPM.US,D,19700807,000000,2.8058,2.8058,2.7602,2.7602,847773,0
JPM.US,D,19700810,000000,2.7602,2.7602,2.6991,2.6991,26831,0
JPM.US,D,19700811,000000,2.6991,2.7602,2.6456,2.7602,96579,0
JPM.US,D,19700812,000000,2.7602,2.7754,2.7296,2.7602,18777,0
JPM.US,D,19700813,000000,2.7524,2.7524,2.6608,2.6761,137720,0
JPM.US,D,19700814,000000,2.6761,2.6991,2.6682,2.6991,109103,0
JPM.US,D,19700817,000000,2.6991,2.7217,2.6991,2.7217,31300,0
JPM.US,D,19700818,000000,2.7602,2.8058,2.7602,2.7982,27724,0
JPM.US,D,19700819,000000,2.7982,2.8515,2.7825,2.8438,37558,0
JPM.US,D,19700820,000000,2.8438,2.8515,2.8133,2.8285,42026,0
JPM.US,D,19700821,000000,2.8285,2.8515,2.8285,2.8515,35769,0
JPM.US,D,19700824,000000,2.8592,2.9275,2.8592,2.9126,249503,0
JPM.US,D,19700825,000000,2.9126,2.9275,2.8742,2.9201,42026,0
JPM.US,D,19700826,000000,2.9201,2.9275,2.8972,2.8972,42922,0
JPM.US,D,19700827,000000,2.8972,2.9126,2.8972,2.9126,183327,0
JPM.US,D,19700828,000000,2.9126,2.9126,2.8972,2.9126,25040,0
JPM.US,D,19700831,000000,2.9126,2.9275,2.8972,2.8972,38453,0
JPM.US,D,19700901,000000,2.8972,2.9126,2.8895,2.8972,49180,0
JPM.US,D,19700902,000000,2.8972,2.9275,2.8895,2.9275,57236,0
JPM.US,D,19700903,000000,2.9275,2.9275,2.8972,2.8972,144874,0
JPM.US,D,19700904,000000,2.8972,2.9126,2.8742,2.8972,19675,0
JPM.US,D,19700908,000000,2.8972,2.8972,2.8592,2.8895,37558,0
JPM.US,D,19700909,000000,2.8895,2.9045,2.8285,2.8972,66180,0
JPM.US,D,19700910,000000,2.8972,2.9275,2.8742,2.8972,124304,0
JPM.US,D,19700911,000000,2.9201,2.9349,2.9201,2.9349,61705,0
JPM.US,D,19700914,000000,2.9349,2.9505,2.9126,2.9126,92112,0
JPM.US,D,19700915,000000,2.9126,2.9201,2.8742,2.8972,23254,0
JPM.US,D,19700916,000000,2.8972,2.9349,2.8895,2.9349,28615,0
JPM.US,D,19700917,000000,2.9349,2.9581,2.9275,2.9505,66180,0
JPM.US,D,19700918,000000,2.9505,2.9505,2.9275,2.9349,27724,0
JPM.US,D,19700921,000000,2.9349,2.9505,2.8972,2.9126,120725,0
JPM.US,D,19700922,000000,2.9126,2.9349,2.8972,2.9201,137720,0
JPM.US,D,19700923,000000,2.9201,2.9201,2.8515,2.8742,153817,0
JPM.US,D,19700924,000000,2.8742,2.8972,2.8438,2.8438,118941,0
JPM.US,D,19700925,000000,2.8438,2.8972,2.8285,2.8285,76014,0
JPM.US,D,19700928,000000,2.8285,2.8667,2.8285,2.8667,129671,0
JPM.US,D,19700929,000000,2.8667,2.8742,2.8285,2.8438,36666,0
JPM.US,D,19700930,000000,2.8438,2.8667,2.8438,2.8592,84959,0
JPM.US,D,19701001,000000,2.8667,2.882,2.8667,2.8667,18777,0
JPM.US,D,19701002,000000,2.8667,2.8742,2.8438,2.8667,80486,0
JPM.US,D,19701005,000000,2.8667,2.8895,2.8438,2.8667,49180,0
JPM.US,D,19701006,000000,2.8742,2.9201,2.8742,2.9201,84959,0
JPM.US,D,19701007,000000,2.9201,2.9275,2.8972,2.9045,59024,0
JPM.US,D,19701008,000000,2.9045,2.9201,2.8742,2.8972,24145,0
JPM.US,D,19701009,000000,2.8972,2.8972,2.8667,2.8667,46502,0
JPM.US,D,19701012,000000,2.8667,2.8667,2.8438,2.8515,21461,0
JPM.US,D,19701013,000000,2.8515,2.8667,2.8285,2.8285,47395,0
JPM.US,D,19701014,000000,2.8285,2.8515,2.821,2.821,42026,0
JPM.US,D,19701015,000000,2.8285,2.8438,2.8285,2.8438,89427,0
JPM.US,D,19701016,000000,2.8285,2.8285,2.8133,2.821,17879,0
JPM.US,D,19701019,000000,2.821,2.8285,2.8133,2.8133,33981,0
JPM.US,D,19701020,000000,2.8133,2.8285,2.8058,2.821,25934,0
JPM.US,D,19701021,000000,2.821,2.821,2.8058,2.8133,37558,0
JPM.US,D,19701022,000000,2.8133,2.821,2.8058,2.8058,58128,0
JPM.US,D,19701023,000000,2.8058,2.821,2.8058,2.8133,62601,0
JPM.US,D,19701026,000000,2.8133,2.821,2.8058,2.8058,34872,0
JPM.US,D,19701027,000000,2.8058,2.8133,2.7906,2.8133,103734,0
JPM.US,D,19701028,000000,2.8133,2.8133,2.7675,2.7825,110886,0
JPM.US,D,19701029,000000,2.7825,2.7825,2.7602,2.7754,23254,0
JPM.US,D,19701030,000000,2.7754,2.7754,2.7602,2.7602,130566,0
JPM.US,D,19701102,000000,2.7602,2.7825,2.7602,2.7754,50077,0
JPM.US,D,19701103,000000,2.7754,2.7825,2.7602,2.7825,38453,0
JPM.US,D,19701104,000000,2.7825,2.7906,2.7825,2.7906,27724,0
