<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCD.US,D,19700102,000000,0.26328,0.27092,0.26328,0.27092,3763437,0
MCD.US,D,19700105,000000,0.27092,0.2783,0.27092,0.2783,2939682,0
MCD.US,D,19700106,000000,0.2783,0.2783,0.2783,0.2783,2600483,0
MCD.US,D,19700107,000000,0.2783,0.2783,0.2783,0.2783,3634218,0
MCD.US,D,19700108,000000,0.2783,0.2783,0.2783,0.2783,2988140,0
MCD.US,D,19700109,000000,0.2783,0.2783,0.27092,0.27092,4377220,0
MCD.US,D,19700112,000000,0.27092,0.27092,0.25569,0.25569,3278875,0
MCD.US,D,19700113,000000,0.25569,0.25569,0.24818,0.25569,3165808,0
MCD.US,D,19700114,000000,0.25569,0.25569,0.24818,0.25569,1340624,0
MCD.US,D,19700115,000000,0.25569,0.25569,0.24818,0.25569,2487420,0
MCD.US,D,19700116,000000,0.25569,0.25569,0.24818,0.24818,2180531,0
MCD.US,D,19700119,000000,0.24818,0.24818,0.24078,0.24078,1712121,0
MCD.US,D,19700120,000000,0.24078,0.24818,0.23323,0.24818,3795741,0
MCD.US,D,19700121,000000,0.24818,0.25569,0.24818,0.24818,1582908,0
MCD.US,D,19700122,000000,0.24818,0.24818,0.24078,0.24078,2616639,0
MCD.US,D,19700123,000000,0.24078,0.24818,0.24078,0.24078,2438965,0
MCD.US,D,19700126,000000,0.24078,0.24078,0.24078,0.24078,2261295,0
MCD.US,D,19700127,000000,0.24078,0.24078,0.24078,0.24078,2471273,0
MCD.US,D,19700128,000000,0.24078,0.24078,0.23323,0.23323,2487420,0
MCD.US,D,19700129,000000,0.23323,0.23323,0.22575,0.22575,4344915,0
MCD.US,D,19700130,000000,0.22575,0.23323,0.22575,0.23323,3957262,0
MCD.US,D,19700202,000000,0.23323,0.24078,0.23323,0.24078,4861781,0
MCD.US,D,19700203,000000,0.24078,0.25569,0.24078,0.24818,5378647,0
MCD.US,D,19700204,000000,0.24818,0.25569,0.24818,0.25569,1922099,0
MCD.US,D,19700205,000000,0.25569,0.25569,0.25569,0.25569,436107,0
MCD.US,D,19700206,000000,0.26328,0.27092,0.26328,0.27092,1970554,0
MCD.US,D,19700209,000000,0.27092,0.2783,0.27092,0.27092,1243711,0
MCD.US,D,19700210,000000,0.27092,0.27092,0.26328,0.26328,1017583,0
MCD.US,D,19700211,000000,0.26328,0.26328,0.25569,0.26328,3133506,0
MCD.US,D,19700212,000000,0.26328,0.26328,0.25569,0.26328,872215,0
MCD.US,D,19700213,000000,0.26328,0.26328,0.25569,0.26328,936822,0
MCD.US,D,19700216,000000,0.26328,0.27092,0.26328,0.26328,565323,0
MCD.US,D,19700217,000000,0.26328,0.26328,0.25569,0.26328,1033731,0
MCD.US,D,19700218,000000,0.26328,0.27092,0.26328,0.27092,1421383,0
MCD.US,D,19700219,000000,0.27092,0.2783,0.27092,0.27092,4571041,0
MCD.US,D,19700220,000000,0.27092,0.27092,0.27092,0.27092,2245142,0
MCD.US,D,19700224,000000,0.27092,0.27092,0.26328,0.26328,2325903,0
MCD.US,D,19700225,000000,0.26328,0.2783,0.26328,0.2783,5814754,0
MCD.US,D,19700226,000000,0.2783,0.2783,0.27092,0.2783,2099770,0
MCD.US,D,19700227,000000,0.2783,0.2783,0.27092,0.2783,1647515,0
MCD.US,D,19700302,000000,0.2783,0.2783,0.27092,0.27092,1825184,0
MCD.US,D,19700303,000000,0.27092,0.2783,0.27092,0.2783,1534447,0
MCD.US,D,19700304,000000,0.2783,0.2783,0.27092,0.27092,1647515,0
MCD.US,D,19700305,000000,0.27092,0.27092,0.26328,0.27092,2923527,0
MCD.US,D,19700306,000000,0.27092,0.27092,0.26328,0.27092,1728273,0
MCD.US,D,19700309,000000,0.27092,0.27092,0.26328,0.26328,1308319,0
MCD.US,D,19700310,000000,0.26328,0.2783,0.26328,0.27092,1389079,0
MCD.US,D,19700311,000000,0.27092,0.2783,0.27092,0.27092,1647515,0
MCD.US,D,19700312,000000,0.27092,0.27092,0.26328,0.26328,1663670,0
MCD.US,D,19700313,000000,0.26328,0.26328,0.24818,0.24818,12437110,0
MCD.US,D,19700316,000000,0.24818,0.24818,0.24818,0.24818,3488854,0
MCD.US,D,19700317,000000,0.24818,0.25569,0.24818,0.25569,1695970,0
MCD.US,D,19700318,000000,0.25569,0.26328,0.25569,0.26328,1049889,0
MCD.US,D,19700319,000000,0.26328,0.26328,0.23323,0.23323,6412383,0
MCD.US,D,19700320,000000,0.23323,0.24078,0.23323,0.23323,9319758,0
MCD.US,D,19700323,000000,0.23323,0.24818,0.23323,0.24818,4361063,0
MCD.US,D,19700324,000000,0.24818,0.25569,0.24818,0.25569,3391939,0
MCD.US,D,19700325,000000,0.25569,0.2783,0.25569,0.26328,2713551,0
MCD.US,D,19700326,000000,0.26328,0.26328,0.25569,0.25569,1179102,0
MCD.US,D,19700330,000000,0.25569,0.26328,0.24818,0.25569,1421383,0
MCD.US,D,19700331,000000,0.25569,0.25569,0.24818,0.24818,2810464,0
MCD.US,D,19700401,000000,0.24818,0.24818,0.24818,0.24818,2552032,0
MCD.US,D,19700402,000000,0.24818,0.27092,0.24818,0.26328,5394796,0
MCD.US,D,19700403,000000,0.26328,0.26328,0.24818,0.24818,4215694,0
MCD.US,D,19700406,000000,0.24818,0.24818,0.24078,0.24078,7914525,0
MCD.US,D,19700407,000000,0.24078,0.24078,0.24078,0.24078,1663670,0
MCD.US,D,19700408,000000,0.24078,0.24818,0.24078,0.24078,5007148,0
MCD.US,D,19700409,000000,0.24078,0.24078,0.23323,0.23323,4231848,0
MCD.US,D,19700410,000000,0.23323,0.23323,0.22575,0.22575,15134506,0
MCD.US,D,19700413,000000,0.22575,0.22575,0.21812,0.21812,5314034,0
MCD.US,D,19700414,000000,0.21812,0.21812,0.21057,0.21812,6896941,0
MCD.US,D,19700415,000000,0.21812,0.22575,0.21057,0.21057,4942539,0
MCD.US,D,19700416,000000,0.21057,0.21812,0.21057,0.21812,3052747,0
MCD.US,D,19700417,000000,0.21812,0.21812,0.21057,0.21057,3181963,0
MCD.US,D,19700420,000000,0.21812,0.22575,0.21812,0.22575,1631362,0
MCD.US,D,19700421,000000,0.22575,0.23323,0.22575,0.22575,2051315,0
MCD.US,D,19700422,000000,0.22575,0.22575,0.21812,0.21812,2342054,0
MCD.US,D,19700423,000000,0.21812,0.21812,0.21812,0.21812,1130643,0
MCD.US,D,19700424,000000,0.21812,0.22575,0.21812,0.21812,1809031,0
MCD.US,D,19700427,000000,0.21812,0.22575,0.21812,0.21812,1905948,0
MCD.US,D,19700428,000000,0.21812,0.22575,0.21812,0.21812,3004289,0
MCD.US,D,19700429,000000,0.21812,0.23323,0.21812,0.23323,2568183,0
MCD.US,D,19700430,000000,0.23323,0.23323,0.22575,0.22575,4635651,0
MCD.US,D,19700501,000000,0.22575,0.23323,0.22575,0.23323,710689,0
MCD.US,D,19700504,000000,0.22575,0.22575,0.22575,0.22575,2858919,0
MCD.US,D,19700505,000000,0.22575,0.22575,0.21057,0.21057,2438965,0
