<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFT.US,D,19860313,000000,0.06425,0.07204,0.06425,0.07204,1434125246,0
MSFT.US,D,19860314,000000,0.07204,0.07204,0.07204,0.07204,428324102,0
MSFT.US,D,19860317,000000,0.07204,0.07204,0.07204,0.07204,185100055,0
MSFT.US,D,19860318,000000,0.07204,0.07204,0.07204,0.07204,94191276,0
MSFT.US,D,19860319,000000,0.07204,0.07204,0.07204,0.07204,66570372,0
MSFT.US,D,19860320,000000,0.07204,0.07204,0.06425,0.07204,81221457,0
MSFT.US,D,19860321,000000,0.07204,0.07204,0.06425,0.06425,83383093,0
MSFT.US,D,19860324,000000,0.06425,0.06425,0.06425,0.06425,90748675,0
MSFT.US,D,19860325,000000,0.06425,0.06425,0.06425,0.06425,44593741,0
MSFT.US,D,19860326,000000,0.06425,0.07204,0.06425,0.06425,31623928,0
MSFT.US,D,19860327,000000,0.06425,0.07204,0.06425,0.07204,23417717,0
MSFT.US,D,19860331,000000,0.07204,0.07204,0.06425,0.07204,17893541,0
MSFT.US,D,19860401,000000,0.07204,0.07204,0.06425,0.06425,15411661,0
MSFT.US,D,19860402,000000,0.06425,0.07204,0.06425,0.07204,37548412,0
MSFT.US,D,19860403,000000,0.07204,0.07204,0.07204,0.07204,32024230,0
MSFT.US,D,19860404,000000,0.07204,0.07204,0.07204,0.07204,36947961,0
MSFT.US,D,19860407,000000,0.07204,0.07204,0.06425,0.06425,23017417,0
MSFT.US,D,19860408,000000,0.06425,0.07204,0.06425,0.07204,14250786,0
MSFT.US,D,19860409,000000,0.07204,0.07204,0.07204,0.07204,16892783,0
MSFT.US,D,19860410,000000,0.07204,0.07204,0.07204,0.07204,19294597,0
MSFT.US,D,19860411,000000,0.07204,0.07204,0.07204,0.07204,23938113,0
MSFT.US,D,19860414,000000,0.07204,0.07204,0.07204,0.07204,16892783,0
MSFT.US,D,19860415,000000,0.07204,0.07204,0.07204,0.07204,12929785,0
MSFT.US,D,19860416,000000,0.07204,0.07204,0.07204,0.07204,44353562,0
MSFT.US,D,19860417,000000,0.07204,0.07204,0.07204,0.07204,30583143,0
MSFT.US,D,19860418,000000,0.07204,0.07204,0.07204,0.07204,30062749,0
MSFT.US,D,19860421,000000,0.07204,0.07204,0.07204,0.07204,31864112,0
MSFT.US,D,19860422,000000,0.07204,0.07204,0.07204,0.07204,21616352,0
MSFT.US,D,19860423,000000,0.07204,0.07204,0.07204,0.07204,21696421,0
MSFT.US,D,19860424,000000,0.07204,0.08022,0.07204,0.08022,86665574,0
MSFT.US,D,19860425,000000,0.08022,0.08819,0.08022,0.08819,119250231,0
