<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WMT.US,D,19720320,000000,0.032,0.032,0.032,0.032,3331362,0
WMT.US,D,19720322,000000,0.032,0.03997,0.032,0.032,1153162,0
WMT.US,D,19720323,000000,0.032,0.03997,0.032,0.032,832842,0
WMT.US,D,19720324,000000,0.032,0.03997,0.032,0.032,1345355,0
WMT.US,D,19720327,000000,0.03997,0.03997,0.03997,0.03997,1473486,0
WMT.US,D,19720328,000000,0.03997,0.03997,0.03997,0.03997,1857873,0
WMT.US,D,19720329,000000,0.03997,0.03997,0.03997,0.03997,1665676,0
WMT.US,D,19720330,000000,0.03997,0.03997,0.03997,0.03997,1601616,0
WMT.US,D,19720403,000000,0.03997,0.03997,0.032,0.032,512518,0
WMT.US,D,19720404,000000,0.032,0.03997,0.032,0.032,512518,0
WMT.US,D,19720405,000000,0.032,0.032,0.032,0.032,384386,0
WMT.US,D,19720406,000000,0.032,0.032,0.032,0.032,960970,0
WMT.US,D,19720407,000000,0.032,0.032,0.032,0.032,1665676,0
WMT.US,D,19720410,000000,0.032,0.032,0.032,0.032,448451,0
WMT.US,D,19720411,000000,0.032,0.032,0.032,0.032,1409420,0
WMT.US,D,19720412,000000,0.032,0.032,0.032,0.032,448451,0
WMT.US,D,19720413,000000,0.032,0.032,0.032,0.032,640643,0
WMT.US,D,19720508,000000,0.032,0.032,0.032,0.032,10826919,0
WMT.US,D,19720511,000000,0.032,0.032,0.032,0.032,6150199,0
WMT.US,D,19720512,000000,0.032,0.032,0.032,0.032,3972003,0
WMT.US,D,19720515,000000,0.032,0.032,0.032,0.032,14862985,0
WMT.US,D,19720516,000000,0.032,0.032,0.032,0.032,5637682,0
WMT.US,D,19720517,000000,0.032,0.032,0.032,0.032,4484519,0
WMT.US,D,19720518,000000,0.032,0.032,0.032,0.032,4548586,0
WMT.US,D,19720519,000000,0.03997,0.03997,0.03997,0.03997,8969047,0
WMT.US,D,19720522,000000,0.03997,0.03997,0.03997,0.03997,4164199,0
WMT.US,D,19720523,000000,0.03997,0.03997,0.03997,0.03997,6854911,0
WMT.US,D,19720524,000000,0.03997,0.03997,0.03997,0.03997,9545625,0
WMT.US,D,19720525,000000,0.03997,0.03997,0.03997,0.03997,3972003,0
WMT.US,D,19720526,000000,0.03997,0.03997,0.03997,0.03997,6214263,0
WMT.US,D,19720530,000000,0.03997,0.03997,0.03997,0.03997,2306326,0
WMT.US,D,19720531,000000,0.03997,0.03997,0.03997,0.03997,12172275,0
WMT.US,D,19720601,000000,0.03997,0.03997,0.03997,0.03997,3203227,0
WMT.US,D,19720602,000000,0.03997,0.03997,0.03997,0.03997,1665676,0
WMT.US,D,19720605,000000,0.03997,0.03997,0.03997,0.03997,5125167,0
WMT.US,D,19720606,000000,0.03997,0.03997,0.03997,0.03997,6790846,0
WMT.US,D,19720607,000000,0.03997,0.03997,0.03997,0.03997,2050065,0
WMT.US,D,19720608,000000,0.03997,0.03997,0.03997,0.03997,1793809,0
WMT.US,D,19720609,000000,0.03997,0.03997,0.03997,0.03997,5701751,0
WMT.US,D,19720612,000000,0.03997,0.03997,0.03997,0.03997,2498520,0
WMT.US,D,19720613,000000,0.03997,0.03997,0.03997,0.03997,2562583,0
WMT.US,D,19720614,000000,0.03997,0.03997,0.03997,0.03997,6278329,0
WMT.US,D,19720615,000000,0.03997,0.03997,0.03997,0.03997,1409420,0
WMT.US,D,19720616,000000,0.03997,0.03997,0.03997,0.03997,6534589,0
WMT.US,D,19720619,000000,0.03997,0.03997,0.03997,0.03997,704712,0
WMT.US,D,19720620,000000,0.03997,0.03997,0.03997,0.03997,2946971,0
WMT.US,D,19720621,000000,0.03997,0.03997,0.03997,0.03997,1986003,0
WMT.US,D,19720622,000000,0.03997,0.03997,0.03997,0.03997,512518,0
WMT.US,D,19720623,000000,0.03997,0.03997,0.03997,0.03997,8840914,0
WMT.US,D,19720626,000000,0.03997,0.03997,0.03997,0.03997,2498520,0
WMT.US,D,19720627,000000,0.03997,0.03997,0.03997,0.03997,2946971,0
WMT.US,D,19720628,000000,0.03997,0.03997,0.03997,0.03997,8328396,0
WMT.US,D,19720629,000000,0.03997,0.03997,0.03997,0.03997,4868911,0
WMT.US,D,19720630,000000,0.03997,0.03997,0.03997,0.03997,1921937,0
WMT.US,D,19720703,000000,0.03997,0.03997,0.03997,0.03997,1729745,0
WMT.US,D,19720705,000000,0.03997,0.03997,0.03997,0.03997,3843876,0
WMT.US,D,19720706,000000,0.03997,0.03997,0.03997,0.03997,1473486,0
WMT.US,D,19720707,000000,0.03997,0.03997,0.03997,0.03997,4292328,0
WMT.US,D,19720710,000000,0.03997,0.03997,0.03997,0.03997,1473486,0
WMT.US,D,19720711,000000,0.03997,0.03997,0.03997,0.03997,256260,0
WMT.US,D,19720712,000000,0.03997,0.03997,0.03997,0.03997,1409420,0
WMT.US,D,19720713,000000,0.03997,0.03997,0.03997,0.03997,2370387,0
WMT.US,D,19720714,000000,0.03997,0.03997,0.03997,0.03997,384386,0
WMT.US,D,19720717,000000,0.03997,0.03997,0.03997,0.03997,960970,0
WMT.US,D,19720718,000000,0.03997,0.03997,0.03997,0.03997,1729745,0
WMT.US,D,19720719,000000,0.03997,0.03997,0.03997,0.03997,4484519,0
WMT.US,D,19720720,000000,0.03997,0.03997,0.03997,0.03997,1793809,0
WMT.US,D,19720721,000000,0.03997,0.03997,0.03997,0.03997,2498520,0
WMT.US,D,19720724,000000,0.03997,0.03997,0.03997,0.03997,15823956,0
