<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XOM.US,D,19700102,000000,1.301,1.301,1.2942,1.301,1679604,0
XOM.US,D,19700105,000000,1.301,1.3294,1.301,1.3294,2691030,0
XOM.US,D,19700106,000000,1.3294,1.3294,1.3082,1.3225,1761989,0
XOM.US,D,19700107,000000,1.3225,1.3225,1.3156,1.3156,1313482,0
XOM.US,D,19700108,000000,1.3156,1.3294,1.3082,1.3156,1537730,0
XOM.US,D,19700109,000000,1.3156,1.3225,1.3156,1.3225,1533155,0
XOM.US,D,19700112,000000,1.3225,1.3294,1.3156,1.3156,1276863,0
XOM.US,D,19700113,000000,1.3156,1.3225,1.3082,1.3082,1784865,0
XOM.US,D,19700114,000000,1.3082,1.3082,1.301,1.3082,1899280,0
XOM.US,D,19700115,000000,1.3082,1.3082,1.2942,1.2942,1725376,0
XOM.US,D,19700116,000000,1.2942,1.301,1.2942,1.301,1574340,0
XOM.US,D,19700119,000000,1.301,1.301,1.2942,1.301,1002273,0
XOM.US,D,19700120,000000,1.301,1.3082,1.2942,1.2942,1775714,0
XOM.US,D,19700121,000000,1.2942,1.301,1.2942,1.2942,1203640,0
XOM.US,D,19700122,000000,1.2942,1.2942,1.2873,1.2873,1977080,0
XOM.US,D,19700123,000000,1.2873,1.2873,1.266,1.266,2686453,0
XOM.US,D,19700126,000000,1.266,1.2729,1.266,1.2729,1491968,0
XOM.US,D,19700127,000000,1.266,1.266,1.2522,1.266,2938164,0
XOM.US,D,19700128,000000,1.266,1.266,1.2238,1.2238,2128111,0
XOM.US,D,19700129,000000,1.2097,1.2097,1.1959,1.1959,2215066,0
XOM.US,D,19700130,000000,1.1959,1.1959,1.1817,1.1887,3107499,0
XOM.US,D,19700202,000000,1.1887,1.1887,1.1817,1.1817,3940439,0
XOM.US,D,19700203,000000,1.1817,1.2097,1.1747,1.2028,3679571,0
XOM.US,D,19700204,000000,1.2028,1.2028,1.1959,1.2028,2864942,0
XOM.US,D,19700205,000000,1.2028,1.2028,1.1959,1.1959,2398130,0
XOM.US,D,19700206,000000,1.1817,1.1817,1.1676,1.1676,2338631,0
XOM.US,D,19700209,000000,1.1676,1.1747,1.1604,1.1604,1999967,0
XOM.US,D,19700210,000000,1.1604,1.1604,1.1114,1.1184,3972475,0
XOM.US,D,19700211,000000,1.1184,1.1253,1.1042,1.1253,3313448,0
XOM.US,D,19700212,000000,1.1253,1.1253,1.0832,1.0973,3734490,0
XOM.US,D,19700213,000000,1.0973,1.1042,1.0832,1.0973,3404975,0
